,Survived,Pclass,Age,Fare,C,Q,Family,Child,Female
0,0,3,22.0,7,False,False,1,False,False
1,1,1,38.0,71,True,False,1,False,True
2,1,3,26.0,7,False,False,0,False,True
3,1,1,35.0,53,False,False,1,False,True
4,0,3,35.0,8,False,False,0,False,False
5,0,3,,8,False,True,0,False,False
6,0,1,54.0,51,False,False,0,False,False
7,0,3,2.0,21,False,False,1,True,False
8,1,3,27.0,11,False,False,1,False,True
9,1,2,14.0,30,True,False,1,True,False
10,1,3,4.0,16,False,False,1,True,False
11,1,1,58.0,26,False,False,0,False,True
12,0,3,20.0,8,False,False,0,False,False
13,0,3,39.0,31,False,False,1,False,False
14,0,3,14.0,7,False,False,0,True,False
15,1,2,55.0,16,False,False,0,False,True
16,0,3,2.0,29,False,True,1,True,False
17,1,2,,13,False,False,0,False,False
18,0,3,31.0,18,False,False,1,False,True
19,1,3,,7,True,False,0,False,True
20,0,2,35.0,26,False,False,0,False,False
21,1,2,34.0,13,False,False,0,False,False
22,1,3,15.0,8,False,True,0,True,False
23,1,1,28.0,35,False,False,0,False,False
24,0,3,8.0,21,False,False,1,True,False
25,1,3,38.0,31,False,False,1,False,True
26,0,3,,7,True,False,0,False,False
27,0,1,19.0,263,False,False,1,False,False
28,1,3,,7,False,True,0,False,True
29,0,3,,7,False,False,0,False,False
30,0,1,40.0,27,True,False,0,False,False
31,1,1,,146,True,False,1,False,True
32,1,3,,7,False,True,0,False,True
33,0,2,66.0,10,False,False,0,False,False
34,0,1,28.0,82,True,False,1,False,False
35,0,1,42.0,52,False,False,1,False,False
36,1,3,,7,True,False,0,False,False
37,0,3,21.0,8,False,False,0,False,False
38,0,3,18.0,18,False,False,1,False,True
39,1,3,14.0,11,True,False,1,True,False
40,0,3,40.0,9,False,False,1,False,True
41,0,2,27.0,21,False,False,1,False,True
42,0,3,,7,True,False,0,False,False
43,1,2,3.0,41,True,False,1,True,False
44,1,3,19.0,7,False,True,0,False,True
45,0,3,,8,False,False,0,False,False
46,0,3,,15,False,True,1,False,False
47,1,3,,7,False,True,0,False,True
48,0,3,,21,True,False,1,False,False
49,0,3,18.0,17,False,False,1,False,True
50,0,3,7.0,39,False,False,1,True,False
51,0,3,21.0,7,False,False,0,False,False
52,1,1,49.0,76,True,False,1,False,True
53,1,2,29.0,26,False,False,1,False,True
54,0,1,65.0,61,True,False,1,False,False
55,1,1,,35,False,False,0,False,False
56,1,2,21.0,10,False,False,0,False,True
57,0,3,28.5,7,True,False,0,False,False
58,1,2,5.0,27,False,False,1,True,False
59,0,3,11.0,46,False,False,1,True,False
60,0,3,22.0,7,True,False,0,False,False
61,1,1,38.0,80,False,False,0,False,True
62,0,1,45.0,83,False,False,1,False,False
63,0,3,4.0,27,False,False,1,True,False
64,0,1,,27,True,False,0,False,False
65,1,3,,15,True,False,1,False,False
66,1,2,29.0,10,False,False,0,False,True
67,0,3,19.0,8,False,False,0,False,False
68,1,3,17.0,7,False,False,1,False,True
69,0,3,26.0,8,False,False,1,False,False
70,0,2,32.0,10,False,False,0,False,False
71,0,3,16.0,46,False,False,1,False,True
72,0,2,21.0,73,False,False,0,False,False
73,0,3,26.0,14,True,False,1,False,False
74,1,3,32.0,56,False,False,0,False,False
75,0,3,25.0,7,False,False,0,False,False
76,0,3,,7,False,False,0,False,False
77,0,3,,8,False,False,0,False,False
78,1,2,0.83,29,False,False,1,True,False
79,1,3,30.0,12,False,False,0,False,True
80,0,3,22.0,9,False,False,0,False,False
81,1,3,29.0,9,False,False,0,False,False
82,1,3,,7,False,True,0,False,True
83,0,1,28.0,47,False,False,0,False,False
84,1,2,17.0,10,False,False,0,False,True
85,1,3,33.0,15,False,False,1,False,True
86,0,3,16.0,34,False,False,1,False,False
87,0,3,,8,False,False,0,False,False
88,1,1,23.0,263,False,False,1,False,True
89,0,3,24.0,8,False,False,0,False,False
90,0,3,29.0,8,False,False,0,False,False
91,0,3,20.0,7,False,False,0,False,False
92,0,1,46.0,61,False,False,1,False,False
93,0,3,26.0,20,False,False,1,False,False
94,0,3,59.0,7,False,False,0,False,False
95,0,3,,8,False,False,0,False,False
96,0,1,71.0,34,True,False,0,False,False
97,1,1,23.0,63,True,False,1,False,False
98,1,2,34.0,23,False,False,1,False,True
99,0,2,34.0,26,False,False,1,False,False
100,0,3,28.0,7,False,False,0,False,True
101,0,3,,7,False,False,0,False,False
102,0,1,21.0,77,False,False,1,False,False
103,0,3,33.0,8,False,False,0,False,False
104,0,3,37.0,7,False,False,1,False,False
105,0,3,28.0,7,False,False,0,False,False
106,1,3,21.0,7,False,False,0,False,True
107,1,3,,7,False,False,0,False,False
108,0,3,38.0,7,False,False,0,False,False
109,1,3,,24,False,True,1,False,True
110,0,1,47.0,52,False,False,0,False,False
111,0,3,14.5,14,True,False,1,True,False
112,0,3,22.0,8,False,False,0,False,False
113,0,3,20.0,9,False,False,1,False,True
114,0,3,17.0,14,True,False,0,False,True
115,0,3,21.0,7,False,False,0,False,False
116,0,3,70.5,7,False,True,0,False,False
117,0,2,29.0,21,False,False,1,False,False
118,0,1,24.0,247,True,False,1,False,False
119,0,3,2.0,31,False,False,1,True,False
120,0,2,21.0,73,False,False,1,False,False
121,0,3,,8,False,False,0,False,False
122,0,2,32.5,30,True,False,1,False,False
123,1,2,32.5,13,False,False,0,False,True
124,0,1,54.0,77,False,False,1,False,False
125,1,3,12.0,11,True,False,1,True,False
126,0,3,,7,False,True,0,False,False
127,1,3,24.0,7,False,False,0,False,False
128,1,3,,22,True,False,1,False,True
129,0,3,45.0,6,False,False,0,False,False
130,0,3,33.0,7,True,False,0,False,False
131,0,3,20.0,7,False,False,0,False,False
132,0,3,47.0,14,False,False,1,False,True
133,1,2,29.0,26,False,False,1,False,True
134,0,2,25.0,13,False,False,0,False,False
135,0,2,23.0,15,True,False,0,False,False
136,1,1,19.0,26,False,False,1,False,True
137,0,1,37.0,53,False,False,1,False,False
138,0,3,16.0,9,False,False,0,False,False
139,0,1,24.0,79,True,False,0,False,False
140,0,3,,15,True,False,1,False,True
141,1,3,22.0,7,False,False,0,False,True
142,1,3,24.0,15,False,False,1,False,True
143,0,3,19.0,6,False,True,0,False,False
144,0,2,18.0,11,False,False,0,False,False
145,0,2,19.0,36,False,False,1,False,False
146,1,3,27.0,7,False,False,0,False,False
147,0,3,9.0,34,False,False,1,True,False
148,0,2,36.5,26,False,False,1,False,False
149,0,2,42.0,13,False,False,0,False,False
150,0,2,51.0,12,False,False,0,False,False
151,1,1,22.0,66,False,False,1,False,True
152,0,3,55.5,8,False,False,0,False,False
153,0,3,40.5,14,False,False,1,False,False
154,0,3,,7,False,False,0,False,False
155,0,1,51.0,61,True,False,1,False,False
156,1,3,16.0,7,False,True,0,False,True
157,0,3,30.0,8,False,False,0,False,False
158,0,3,,8,False,False,0,False,False
159,0,3,,69,False,False,1,False,False
160,0,3,44.0,16,False,False,1,False,False
161,1,2,40.0,15,False,False,0,False,True
162,0,3,26.0,7,False,False,0,False,False
163,0,3,17.0,8,False,False,0,False,False
164,0,3,1.0,39,False,False,1,True,False
165,1,3,9.0,20,False,False,1,True,False
166,1,1,,55,False,False,1,False,True
167,0,3,45.0,27,False,False,1,False,True
168,0,1,,25,False,False,0,False,False
169,0,3,28.0,56,False,False,0,False,False
170,0,1,61.0,33,False,False,0,False,False
171,0,3,4.0,29,False,True,1,True,False
172,1,3,1.0,11,False,False,1,True,False
173,0,3,21.0,7,False,False,0,False,False
174,0,1,56.0,30,True,False,0,False,False
175,0,3,18.0,7,False,False,1,False,False
176,0,3,,25,False,False,1,False,False
177,0,1,50.0,28,True,False,0,False,True
178,0,2,30.0,13,False,False,0,False,False
179,0,3,36.0,0,False,False,0,False,False
180,0,3,,69,False,False,1,False,True
181,0,2,,15,True,False,0,False,False
182,0,3,9.0,31,False,False,1,True,False
183,1,2,1.0,39,False,False,1,True,False
184,1,3,4.0,22,False,False,1,True,False
185,0,1,,50,False,False,0,False,False
186,1,3,,15,False,True,1,False,True
187,1,1,45.0,26,False,False,0,False,False
188,0,3,40.0,15,False,True,1,False,False
189,0,3,36.0,7,False,False,0,False,False
190,1,2,32.0,13,False,False,0,False,True
191,0,2,19.0,13,False,False,0,False,False
192,1,3,19.0,7,False,False,1,False,True
193,1,2,3.0,26,False,False,1,True,False
194,1,1,44.0,27,True,False,0,False,True
195,1,1,58.0,146,True,False,0,False,True
196,0,3,,7,False,True,0,False,False
197,0,3,42.0,8,False,False,1,False,False
198,1,3,,7,False,True,0,False,True
199,0,2,24.0,13,False,False,0,False,True
200,0,3,28.0,9,False,False,0,False,False
201,0,3,,69,False,False,1,False,False
202,0,3,34.0,6,False,False,0,False,False
203,0,3,45.5,7,True,False,0,False,False
204,1,3,18.0,8,False,False,0,False,False
205,0,3,2.0,10,False,False,1,True,False
206,0,3,32.0,15,False,False,1,False,False
207,1,3,26.0,18,True,False,0,False,False
208,1,3,16.0,7,False,True,0,False,True
209,1,1,40.0,31,True,False,0,False,False
210,0,3,24.0,7,False,False,0,False,False
211,1,2,35.0,21,False,False,0,False,True
212,0,3,22.0,7,False,False,0,False,False
213,0,2,30.0,13,False,False,0,False,False
214,0,3,,7,False,True,1,False,False
215,1,1,31.0,113,True,False,1,False,True
216,1,3,27.0,7,False,False,0,False,True
217,0,2,42.0,27,False,False,1,False,False
218,1,1,32.0,76,True,False,0,False,True
219,0,2,30.0,10,False,False,0,False,False
220,1,3,16.0,8,False,False,0,False,False
221,0,2,27.0,13,False,False,0,False,False
222,0,3,51.0,8,False,False,0,False,False
223,0,3,,7,False,False,0,False,False
224,1,1,38.0,90,False,False,1,False,False
225,0,3,22.0,9,False,False,0,False,False
226,1,2,19.0,10,False,False,0,False,False
227,0,3,20.5,7,False,False,0,False,False
228,0,2,18.0,13,False,False,0,False,False
229,0,3,,25,False,False,1,False,True
230,1,1,35.0,83,False,False,1,False,True
231,0,3,29.0,7,False,False,0,False,False
232,0,2,59.0,13,False,False,0,False,False
233,1,3,5.0,31,False,False,1,True,False
234,0,2,24.0,10,False,False,0,False,False
235,0,3,,7,False,False,0,False,True
236,0,2,44.0,26,False,False,1,False,False
237,1,2,8.0,26,False,False,1,True,False
238,0,2,19.0,10,False,False,0,False,False
239,0,2,33.0,12,False,False,0,False,False
240,0,3,,14,True,False,1,False,True
241,1,3,,15,False,True,1,False,True
242,0,2,29.0,10,False,False,0,False,False
243,0,3,22.0,7,False,False,0,False,False
244,0,3,30.0,7,True,False,0,False,False
245,0,1,44.0,90,False,True,1,False,False
246,0,3,25.0,7,False,False,0,False,True
247,1,2,24.0,14,False,False,1,False,True
248,1,1,37.0,52,False,False,1,False,False
249,0,2,54.0,26,False,False,1,False,False
250,0,3,,7,False,False,0,False,False
251,0,3,29.0,10,False,False,1,False,True
252,0,1,62.0,26,False,False,0,False,False
253,0,3,30.0,16,False,False,1,False,False
254,0,3,41.0,20,False,False,1,False,True
255,1,3,29.0,15,True,False,1,False,True
256,1,1,,79,True,False,0,False,True
257,1,1,30.0,86,False,False,0,False,True
258,1,1,35.0,512,True,False,0,False,True
259,1,2,50.0,26,False,False,1,False,True
260,0,3,,7,False,True,0,False,False
261,1,3,3.0,31,False,False,1,True,False
262,0,1,52.0,79,False,False,1,False,False
263,0,1,40.0,0,False,False,0,False,False
264,0,3,,7,False,True,0,False,True
265,0,2,36.0,10,False,False,0,False,False
266,0,3,16.0,39,False,False,1,False,False
267,1,3,25.0,7,False,False,1,False,False
268,1,1,58.0,153,False,False,1,False,True
269,1,1,35.0,135,False,False,0,False,True
270,0,1,,31,False,False,0,False,False
271,1,3,25.0,0,False,False,0,False,False
272,1,2,41.0,19,False,False,1,False,True
273,0,1,37.0,29,True,False,1,False,False
274,1,3,,7,False,True,0,False,True
275,1,1,63.0,77,False,False,1,False,True
276,0,3,45.0,7,False,False,0,False,True
277,0,2,,0,False,False,0,False,False
278,0,3,7.0,29,False,True,1,True,False
279,1,3,35.0,20,False,False,1,False,True
280,0,3,65.0,7,False,True,0,False,False
281,0,3,28.0,7,False,False,0,False,False
282,0,3,16.0,9,False,False,0,False,False
283,1,3,19.0,8,False,False,0,False,False
284,0,1,,26,False,False,0,False,False
285,0,3,33.0,8,True,False,0,False,False
286,1,3,30.0,9,False,False,0,False,False
287,0,3,22.0,7,False,False,0,False,False
288,1,2,42.0,13,False,False,0,False,False
289,1,3,22.0,7,False,True,0,False,True
290,1,1,26.0,78,False,False,0,False,True
291,1,1,19.0,91,True,False,1,False,True
292,0,2,36.0,12,True,False,0,False,False
293,0,3,24.0,8,False,False,0,False,True
294,0,3,24.0,7,False,False,0,False,False
295,0,1,,27,True,False,0,False,False
296,0,3,23.5,7,True,False,0,False,False
297,0,1,2.0,151,False,False,1,True,False
298,1,1,,30,False,False,0,False,False
299,1,1,50.0,247,True,False,1,False,True
300,1,3,,7,False,True,0,False,True
301,1,3,,23,False,True,1,False,False
302,0,3,19.0,0,False,False,0,False,False
303,1,2,,12,False,True,0,False,True
304,0,3,,8,False,False,0,False,False
305,1,1,0.92,151,False,False,1,True,False
306,1,1,,110,True,False,0,False,True
307,1,1,17.0,108,True,False,1,False,True
308,0,2,30.0,24,True,False,1,False,False
309,1,1,30.0,56,True,False,0,False,True
310,1,1,24.0,83,True,False,0,False,True
311,1,1,18.0,262,True,False,1,False,True
312,0,2,26.0,26,False,False,1,False,True
313,0,3,28.0,7,False,False,0,False,False
314,0,2,43.0,26,False,False,1,False,False
315,1,3,26.0,7,False,False,0,False,True
316,1,2,24.0,26,False,False,1,False,True
317,0,2,54.0,14,False,False,0,False,False
318,1,1,31.0,164,False,False,1,False,True
319,1,1,40.0,134,True,False,1,False,True
320,0,3,22.0,7,False,False,0,False,False
321,0,3,27.0,7,False,False,0,False,False
322,1,2,30.0,12,False,True,0,False,True
323,1,2,22.0,29,False,False,1,False,True
324,0,3,,69,False,False,1,False,False
325,1,1,36.0,135,True,False,0,False,True
326,0,3,61.0,6,False,False,0,False,False
327,1,2,36.0,13,False,False,0,False,True
328,1,3,31.0,20,False,False,1,False,True
329,1,1,16.0,57,True,False,1,False,True
330,1,3,,23,False,True,1,False,True
331,0,1,45.5,28,False,False,0,False,False
332,0,1,38.0,153,False,False,1,False,False
333,0,3,16.0,18,False,False,1,False,False
334,1,1,,133,False,False,1,False,True
335,0,3,,7,False,False,0,False,False
336,0,1,29.0,66,False,False,1,False,False
337,1,1,41.0,134,True,False,0,False,True
338,1,3,45.0,8,False,False,0,False,False
339,0,1,45.0,35,False,False,0,False,False
340,1,2,2.0,26,False,False,1,True,False
341,1,1,24.0,263,False,False,1,False,True
342,0,2,28.0,13,False,False,0,False,False
343,0,2,25.0,13,False,False,0,False,False
344,0,2,36.0,13,False,False,0,False,False
345,1,2,24.0,13,False,False,0,False,True
346,1,2,40.0,13,False,False,0,False,True
347,1,3,,16,False,False,1,False,True
348,1,3,3.0,15,False,False,1,True,False
349,0,3,42.0,8,False,False,0,False,False
350,0,3,23.0,9,False,False,0,False,False
351,0,1,,35,False,False,0,False,False
352,0,3,15.0,7,True,False,1,True,False
353,0,3,25.0,17,False,False,1,False,False
354,0,3,,7,True,False,0,False,False
355,0,3,28.0,9,False,False,0,False,False
356,1,1,22.0,55,False,False,1,False,True
357,0,2,38.0,13,False,False,0,False,True
358,1,3,,7,False,True,0,False,True
359,1,3,,7,False,True,0,False,True
360,0,3,40.0,27,False,False,1,False,False
361,0,2,29.0,27,True,False,1,False,False
362,0,3,45.0,14,True,False,1,False,True
363,0,3,35.0,7,False,False,0,False,False
364,0,3,,15,False,True,1,False,False
365,0,3,30.0,7,False,False,0,False,False
366,1,1,60.0,75,True,False,1,False,True
367,1,3,,7,True,False,0,False,True
368,1,3,,7,False,True,0,False,True
369,1,1,24.0,69,True,False,0,False,True
370,1,1,25.0,55,True,False,1,False,False
371,0,3,18.0,6,False,False,1,False,False
372,0,3,19.0,8,False,False,0,False,False
373,0,1,22.0,135,True,False,0,False,False
374,0,3,3.0,21,False,False,1,True,False
375,1,1,,82,True,False,1,False,True
376,1,3,22.0,7,False,False,0,False,True
377,0,1,27.0,211,True,False,1,False,False
378,0,3,20.0,4,True,False,0,False,False
379,0,3,19.0,7,False,False,0,False,False
380,1,1,42.0,227,True,False,0,False,True
381,1,3,1.0,15,True,False,1,True,False
382,0,3,32.0,7,False,False,0,False,False
383,1,1,35.0,52,False,False,1,False,True
384,0,3,,7,False,False,0,False,False
385,0,2,18.0,73,False,False,0,False,False
386,0,3,1.0,46,False,False,1,True,False
387,1,2,36.0,13,False,False,0,False,True
388,0,3,,7,False,True,0,False,False
389,1,2,17.0,12,True,False,0,False,True
390,1,1,36.0,120,False,False,1,False,False
391,1,3,21.0,7,False,False,0,False,False
392,0,3,28.0,7,False,False,1,False,False
393,1,1,23.0,113,True,False,1,False,True
394,1,3,24.0,16,False,False,1,False,True
395,0,3,22.0,7,False,False,0,False,False
396,0,3,31.0,7,False,False,0,False,True
397,0,2,46.0,26,False,False,0,False,False
398,0,2,23.0,10,False,False,0,False,False
399,1,2,28.0,12,False,False,0,False,True
400,1,3,39.0,7,False,False,0,False,False
401,0,3,26.0,8,False,False,0,False,False
402,0,3,21.0,9,False,False,1,False,True
403,0,3,28.0,15,False,False,1,False,False
404,0,3,20.0,8,False,False,0,False,True
405,0,2,34.0,21,False,False,1,False,False
406,0,3,51.0,7,False,False,0,False,False
407,1,2,3.0,18,False,False,1,True,False
408,0,3,21.0,7,False,False,0,False,False
409,0,3,,25,False,False,1,False,True
410,0,3,,7,False,False,0,False,False
411,0,3,,6,False,True,0,False,False
412,1,1,33.0,90,False,True,1,False,True
413,0,2,,0,False,False,0,False,False
414,1,3,44.0,7,False,False,0,False,False
415,0,3,,8,False,False,0,False,True
416,1,2,34.0,32,False,False,1,False,True
417,1,2,18.0,13,False,False,1,False,True
418,0,2,30.0,13,False,False,0,False,False
419,0,3,10.0,24,False,False,1,True,False
420,0,3,,7,True,False,0,False,False
421,0,3,21.0,7,False,True,0,False,False
422,0,3,29.0,7,False,False,0,False,False
423,0,3,28.0,14,False,False,1,False,True
424,0,3,18.0,20,False,False,1,False,False
425,0,3,,7,False,False,0,False,False
426,1,2,28.0,26,False,False,1,False,True
427,1,2,19.0,26,False,False,0,False,True
428,0,3,,7,False,True,0,False,False
429,1,3,32.0,8,False,False,0,False,False
430,1,1,28.0,26,False,False,0,False,False
431,1,3,,16,False,False,1,False,True
432,1,2,42.0,26,False,False,1,False,True
433,0,3,17.0,7,False,False,0,False,False
434,0,1,50.0,55,False,False,1,False,False
435,1,1,14.0,120,False,False,1,True,False
436,0,3,21.0,34,False,False,1,False,True
437,1,2,24.0,18,False,False,1,False,True
438,0,1,64.0,263,False,False,1,False,False
439,0,2,31.0,10,False,False,0,False,False
440,1,2,45.0,26,False,False,1,False,True
441,0,3,20.0,9,False,False,0,False,False
442,0,3,25.0,7,False,False,1,False,False
443,1,2,28.0,13,False,False,0,False,True
444,1,3,,8,False,False,0,False,False
445,1,1,4.0,81,False,False,1,True,False
